"地方","振(cid:11206)局","地(cid:8556)(cid:9234)号","(cid:12411)(cid:8196)所名","よみがな","ローマ字(cid:12210)(cid:12464)","所在地"
"中国","広島","67106","三(cid:7711)","みよし","MIYOSHI","三(cid:7711)市三(cid:7711)(cid:9195)"
"中国","広島","67116","庄原","しょうばら","SHOBARA","庄原市東本(cid:9195)"
"中国","広島","67151","大朝","おおあさ","OASA","山(cid:9524)(cid:13446)北広島(cid:9195)大朝字大坪"
"中国","広島","67191","(cid:7964)木","ゆき","YUKI","(cid:9860)(cid:9660)(cid:13446)(cid:9860)(cid:9660)(cid:14807)原(cid:9195)安(cid:9187)伊ノ平(cid:12738)"
"中国","広島","67212","加(cid:12451)","かけ","KAKE","山(cid:9524)(cid:13446)安(cid:11329)太(cid:9187)(cid:9195)加(cid:12451)字(cid:9860)(cid:9187)"
"中国","広島","67292","三入","みいり","MIIRI","広島市安佐北区三入"
"中国","広島","67316","世(cid:10806)","せら","SERA","世(cid:10806)(cid:13446)世(cid:10806)(cid:9195)大字東(cid:9860)崎字大(cid:9187)"
"中国","広島","67326","府中","ふちゅう","FUCHU","府中市土(cid:9173)(cid:9195)"
"中国","広島","67376","東広島","ひがしひろしま","HIGASHIHIROSHIMA","東広島市八本松(cid:9195)原"
"中国","広島","67401","(cid:9887)山","ふくやま","FUKUYAMA","(cid:9887)山市松(cid:7884)(cid:9195)　(cid:9887)山(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","広島","67421","廿日市(cid:8032)(cid:9187)","はつかいちつた","HATSUKAICHITSUTA","廿日市市(cid:8032)(cid:9187)"
"中国","広島","67437","広島","ひろしま","HIROSHIMA","広島市中区上八丁堀　広島地方(cid:7868)(cid:12767)台"
"中国","広島","67461","(cid:10121)原","たけはら","TAKEHARA","(cid:10121)原市忠(cid:8079)床(cid:8070)"
"中国","広島","67471","(cid:9173)口島","いくちじま","IKUCHIJIMA","尾(cid:13352)市(cid:8489)戸(cid:9187)(cid:9195)御寺"
"中国","広島","67496","大(cid:10121)","おおたけ","OTAKE","大(cid:10121)市(cid:10087)戸"
"中国","広島","67511","呉","くれ","KURE","呉市宝(cid:9195)　呉(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","広島","67576","呉市(cid:11622)刈","くれしかまがり","KURE-SHI-KAMAGARI","呉市(cid:11622)刈(cid:9195)大(cid:8070)字前(cid:7944)(cid:8070)"
"中国","島(cid:7231)","68022","(cid:12377)(cid:13459)","さいごう","SAIGO","(cid:14211)岐(cid:13446)(cid:14211)岐の島(cid:9195)(cid:12377)(cid:9195)大城ノ一　(cid:12377)(cid:13459)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","島(cid:7231)","68056","(cid:8079)士","あま","AMA","(cid:14211)岐(cid:13446)(cid:8079)士(cid:9195)(cid:8079)士"
"中国","島(cid:7231)","68091","(cid:15285)島","かしま","KASHIMA","松(cid:7908)市(cid:15285)島(cid:9195)佐(cid:14144)本(cid:13459)"
"中国","島(cid:7231)","68132","松(cid:7908)","まつえ","MATSUE","松(cid:7908)市(cid:12377)(cid:8032)(cid:9187)　松(cid:7908)地方(cid:7868)(cid:12767)台"
"中国","島(cid:7231)","68156","出(cid:14268)","いずも","IZUMO","出(cid:14268)市(cid:11313)(cid:8187)(cid:9195)"
"中国","島(cid:7231)","68246","大(cid:9187)","おおだ","ODA","大(cid:9187)市大(cid:9187)(cid:9195)大(cid:9187)"
"中国","島(cid:7231)","68261","掛合","かけや","KAKEYA","(cid:14268)南市掛合(cid:9195)掛合"
"中国","島(cid:7231)","68276","(cid:7571)(cid:9187)","よこた","YOKOTA","仁多(cid:13446)奥出(cid:14268)(cid:9195)(cid:9988)原"
"中国","島(cid:7231)","68306","(cid:12901)名","あかな","AKANA","(cid:14564)(cid:9660)(cid:13446)(cid:14564)南(cid:9195)下(cid:12901)名"
"中国","島(cid:7231)","68351","川本","かわもと","KAWAMOTO","(cid:13402)智(cid:13446)川本(cid:9195)川本"
"中国","島(cid:7231)","68376","(cid:8062)(cid:9187)","はまだ","HAMADA","(cid:8062)(cid:9187)市大(cid:13239)(cid:9195)　(cid:8062)(cid:9187)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","島(cid:7231)","68401","(cid:9054)(cid:10001)","みずほ","MIZUHO","(cid:13402)智(cid:13446)(cid:13402)南(cid:9195)(cid:8119)原"
"中国","島(cid:7231)","68431","弥(cid:7204)","やさか","YASAKA","(cid:8062)(cid:9187)市弥(cid:7204)(cid:9195)(cid:14039)安本(cid:13459)"
"中国","島(cid:7231)","68462","(cid:9480)(cid:9187)","ますだ","MASUDA","(cid:9480)(cid:9187)市あけぼの東(cid:9195)"
"中国","島(cid:7231)","68516","(cid:8032)和(cid:13597)","つわの","TSUWANO","(cid:15285)(cid:12938)(cid:13446)(cid:8032)和(cid:13597)(cid:9195)(cid:7363)村ロ"
"中国","島(cid:7231)","68541","吉(cid:12833)","よしか","YOSHIKA","(cid:15285)(cid:12938)(cid:13446)吉(cid:12833)(cid:9195)七日市"
"中国","(cid:15101)取","69006","境","さかい","SAKAI","境(cid:8199)市東本(cid:9195)　境(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","(cid:15101)取","69021","塩(cid:8032)","しおつ","SHIOTSU","(cid:12377)伯(cid:13446)大山(cid:9195)塩(cid:8032)"
"中国","(cid:15101)取","69041","(cid:14327)(cid:12738)","あおや","AOYA","(cid:15101)取市(cid:14327)(cid:12738)(cid:9195)(cid:14327)(cid:12738)"
"中国","(cid:15101)取","69061","岩井","いわい","IWAI","岩(cid:10814)(cid:13446)岩(cid:10814)(cid:9195)宇(cid:7966)字前(cid:9187)"
"中国","(cid:15101)取","69076","(cid:10367)子","よなご","YONAGO","(cid:10367)子市博労(cid:9195)　(cid:10367)子(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","(cid:15101)取","69101","倉吉","くらよし","KURAYOSHI","倉吉市大塚字(cid:14192)ヶ坪"
"中国","(cid:15101)取","69122","(cid:15101)取","とっとり","TOTTORI","(cid:15101)取市吉方　(cid:15101)取地方(cid:7868)(cid:12767)台"
"中国","(cid:15101)取","69246","智(cid:14476)","ちず","CHIZU","八(cid:14476)(cid:13446)智(cid:14476)(cid:9195)智(cid:14476)(cid:7944)代"
"中国","(cid:15101)取","69271","(cid:11412)屋","ちゃや","CYAYA","日(cid:13597)(cid:13446)日南(cid:9195)(cid:11412)屋大ジャフ(cid:9187)"
"中国","山口","81011","(cid:14450)佐","すさ","SUSA","(cid:11543)市(cid:14450)佐字(cid:13597)中"
"中国","山口","81071","(cid:11543)","はぎ","HAGI","(cid:11543)市大字土原字川島(cid:7944)(cid:9187)　(cid:11543)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","山口","81116","(cid:7964)(cid:12738)","ゆや","YUYA","(cid:14039)(cid:14043)市(cid:7964)(cid:12738)新別名"
"中国","山口","81151","徳佐","とくさ","TOKUSA","山口市(cid:14143)東徳佐中"
"中国","山口","81196","(cid:9925)吉台","あきよしだい","AKIYOSHIDAI","(cid:10814)(cid:9863)市(cid:9925)(cid:11326)(cid:9195)(cid:9925)吉"
"中国","山口","81231","広(cid:8489)","ひろせ","HIROSE","岩国市(cid:13834)(cid:9195)広(cid:8489)"
"中国","山口","81266","(cid:12751)(cid:9187)","とよた","TOYOTA","下(cid:14069)市(cid:12751)(cid:9187)(cid:9195)大字(cid:9988)光字土(cid:7595)"
"中国","山口","81286","山口","やまぐち","YAMAGUCHI","山口市前(cid:9195)　山口(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"中国","山口","81321","岩国","いわくに","IWAKUNI","岩国市川(cid:12377)"
"中国","山口","81371","(cid:14133)府","ほうふ","HOFU","(cid:14133)府市大字(cid:7388)松"
"中国","山口","81386","下松","くだまつ","KUDAMATSU","下松市(cid:12377)(cid:12751)井"
"中国","山口","81397","(cid:8938)(cid:8963)","くが","KUGA","岩国市(cid:8938)(cid:8963)(cid:9195)"
"中国","山口","81428","下(cid:14069)","しものせき","SHIMONOSEKI","下(cid:14069)市(cid:10121)崎(cid:9195)　下(cid:14069)地方(cid:7868)(cid:12767)台"
"中国","山口","81481","柳井","やない","YANAI","柳井市南(cid:8062)"
"中国","山口","81486","安下庄","あげのしょう","AGENOSHO","大島(cid:13446)周(cid:14133)大島(cid:9195)東安下庄"
"四国","徳島","71066","(cid:7909)(cid:9187)","いけだ","IKEDA","三好市(cid:7909)(cid:9187)(cid:9195)シンヤマ"
"四国","徳島","71087","(cid:10032)吹","あなぶき","ANABUKI","(cid:10814)(cid:14655)市(cid:10032)吹(cid:9195)口山初(cid:11425)"
"四国","徳島","71106","徳島","とくしま","TOKUSHIMA","徳島市大和(cid:9195)　徳島地方(cid:7868)(cid:12767)台"
"四国","徳島","71191","京上","きょうじょう","KYOJO","三好市東(cid:9853)(cid:12738)京上"
"四国","徳島","71231","(cid:11622)(cid:9173)(cid:9187)","かもだ","KAMODA","(cid:14143)南市(cid:7418)(cid:9195)(cid:11622)(cid:9173)(cid:9187)"
"四国","徳島","71251","木(cid:14476)","きとう","KITO","(cid:13411)(cid:12833)(cid:13446)(cid:13411)(cid:12833)(cid:9195)木(cid:14476)和(cid:8595)(cid:9187)ヨシノ"
"四国","徳島","71266","日和佐","ひわさ","HIWASA","(cid:8079)(cid:13450)(cid:13446)(cid:10814)(cid:7996)(cid:9195)日和佐(cid:8070)"
"四国","徳島","71291","(cid:8079)(cid:14183)","かいよう","KAIYO","(cid:8079)(cid:13450)(cid:13446)(cid:8079)(cid:14183)(cid:9195)四方原字杉(cid:12738)"
"四国","(cid:14646)川","72061","内(cid:8079)","うちのみ","UCHINOMI","小(cid:12747)(cid:13446)小(cid:12747)島(cid:9195)(cid:12377)村(cid:9189)"
"四国","(cid:14646)川","72086","(cid:14807)松","たかまつ","TAKAMATSU","(cid:14807)松市伏(cid:9660)(cid:9195)　(cid:14807)松地方(cid:7868)(cid:12767)台"
"四国","(cid:14646)川","72111","多度(cid:8032)","たどつ","TADOTSU","仲多度(cid:13446)多度(cid:8032)(cid:9195)家中　多度(cid:8032)(cid:8777)別地域(cid:7868)(cid:12767)(cid:12411)(cid:8196)所"
"四国","(cid:14646)川","72121","(cid:8298)宮","たきのみや","TAKINOMIYA","(cid:10596)(cid:7735)(cid:13446)(cid:10596)川(cid:9195)(cid:8298)宮字山(cid:9187)"
"四国","(cid:14646)川","72146","引(cid:9187)","ひけた","HIKETA","東かがわ市南(cid:13597)"
"四国","(cid:14646)川","72161","(cid:12808)(cid:9187)","さいた","SAITA","三(cid:12751)市(cid:12808)(cid:9187)(cid:9195)(cid:12808)(cid:9187)上"
"四国","愛媛","73001","大三島","おおみしま","OMISHIMA","今(cid:7966)市大三島(cid:9195)宮(cid:8070)地先"
"四国","愛媛","73076","今(cid:7966)","いまばり","IMABARI","今(cid:7966)市山(cid:12976)"
"四国","愛媛","73126","(cid:12377)条","さいじょう","SAIJO","(cid:12377)条市周布"
"四国","愛媛","73141","新居(cid:8062)","にいはま","NIIHAMA","新居(cid:8062)市(cid:11242)木"
"四国","愛媛","73151","四国中央","しこくちゅうおう","SHIKOKU-CHUO","四国中央市妻(cid:15101)(cid:9195)乙"
"四国","愛媛","73166","松山","まつやま","MATSUYAMA","松山市北持(cid:9187)(cid:9195)　松山地方(cid:7868)(cid:12767)台"
"四国","愛媛","73256","(cid:14039)(cid:8062)","ながはま","NAGAHAMA","大(cid:8042)市(cid:14039)(cid:8062)(cid:9189)"
"四国","愛媛","73276","久万","くま","KUMA","上(cid:8075)(cid:10032)(cid:13446)久万(cid:14807)原(cid:9195)入(cid:13597)"
"四国","愛媛","73306","大(cid:8042)","おおず","OZU","大(cid:8042)市(cid:14143)(cid:11702)字フルカワ(cid:9189)"
"四国","愛媛","73341","(cid:8489)戸","せと","SETO","(cid:12377)宇和(cid:13446)伊方(cid:9195)塩成"
